"","Sample_Name","Sample_ID","Respiration_Rate_mg_DO_per_L_per_H","Respiration_Rate_mg_DO_per_kg_per_H","Fe_mg_per_L","Fe_mg_per_kg","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","average_ssa","SpC","Temp","pH","Initial_Water_mass_g","Final_Water_mass_g","Dry_Sediment_Mass_g"
"116","EC_024_INC-W1","EC_024",-4.103,-12.054,0.0335353968981079,0.0985209769128388,"4.2","8.7","83.6","96.5","3.4","0.1",4.797,226.9,21.7,6.3,5.86,5.86,17.16
"117","EC_024_INC-W2","EC_024",-1.146,-3.386,0.0510503252285491,0.150855805729592,"4.2","8.7","83.6","96.5","3.4","0.1",4.797,223.2,21.5,6.43,5.87,5.87,17.06
"118","EC_024_INC-W3","EC_024",-1.209,-3.546,0.0575551693826249,0.168791666904379,"4.2","8.7","83.6","96.5","3.4","0.1",4.797,223.4,21.4,6.58,5.84,5.84,17.19
"119","EC_024_INC-W4","EC_024",-1.564,-4.571,0.0476788201854365,0.139341006493241,"4.2","8.7","83.6","96.5","3.4","0.1",4.797,225.5,21,6.82,5.85,5.84,17.25
"120","EC_024_INC-W5","EC_024",-2.913,-8.568,0.061609738372093,0.181209553124406,"4.2","8.7","83.6","96.5","3.4","0.1",4.797,218.9,21.6,6.08,5.78,5.78,17.14
"121","EC_027_INC-D1","EC_027",-9999,-9999,0.0607171225429277,0.314141423839367,"46.5","25","1.1","72.6","15.7","11.7",34.066,1157,21.6,6.99,10,7.76,10.02
"122","EC_027_INC-D2","EC_027",-9999,-9999,2.75279689067271,14.2710496406254,"46.5","25","1.1","72.6","15.7","11.7",34.066,1102,21.8,7.08,9.97,7.55,10
"123","EC_027_INC-D3","EC_027",-3.299,-17.068,NA,NA,"46.5","25","1.1","72.6","15.7","11.7",34.066,1123,21.6,7.16,9.99,7.12,10.02
"124","EC_027_INC-D4","EC_027",-109.808,-568.696,0.113635525053502,0.588520768214149,"46.5","25","1.1","72.6","15.7","11.7",34.066,1117,22,7.12,9.98,7.12,10.01
"125","EC_027_INC-D5","EC_027",-7.881,-40.734,0.0772461724098875,0.399261821542711,"46.5","25","1.1","72.6","15.7","11.7",34.066,1037,21.8,7.03,10.01,6.99,10.03
"126","EC_027_INC-W1","EC_027",-182.577,-945.566,0.0411233070064262,0.212978469713002,"46.5","25","1.1","72.6","15.7","11.7",34.066,1097,21.4,6.44,12.72,12.72,10.01
"127","EC_027_INC-W2","EC_027",-265.758,-1377.737,3.23994471923238,16.7965214134445,"46.5","25","1.1","72.6","15.7","11.7",34.066,1078,21.6,7.17,12.57,12.57,10
"128","EC_027_INC-W3","EC_027",-244.014,-1265.012,0.0950147167034583,0.492575294334068,"46.5","25","1.1","72.6","15.7","11.7",34.066,1002,21.5,6.85,13.01,13.01,10
"129","EC_027_INC-W4","EC_027",-261.147,-1349.783,0.0638874162087535,0.330214499610588,"46.5","25","1.1","72.6","15.7","11.7",34.066,1070,21.5,6.92,12.95,12.95,10.03
"130","EC_027_INC-W5","EC_027",-9999,-9999,1.95269280919142,10.102944173064,"46.5","25","1.1","72.6","15.7","11.7",34.066,1033,21.4,7.11,12.88,12.88,10.02
"131","EC_032_INC-D1","EC_032",-221.433,-1195.112,0.163131731219479,0.88044433770608,"6.6","1.1","1.1","8.8","20.6","70.6",95.555,607.9,19.7,7.09,10.55,6.91,10.13
