"Sample_ID","Treat","Mean_SpC","Mean_pH","Mean_Temp","Mean_WithOutliers_Respiration_Rate_mg_DO_per_L_per_H","Mean_WithOutliers_Respiration_Rate_mg_DO_per_kg_per_H","Mean_OutliersRemoved_Respiration_Rate_mg_DO_per_L_per_H","Mean_OutliersRemoved_Respiration_Rate_mg_DO_per_kg_per_H","Initial_Gravimetric_Water","Final_Gravimetric_Water","Lost_Gravimetric_Water","Mean_ATP_nanomol_per_L","Mean_ATP_picomol_per_g","Mean_Fe_mg_per_kg","Mean_Fe_mg_per_L","mean_npoc","mean_tn","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","mean_ssa"
"EC_084","D",170.68,6.75,21.22,32.769,118.445,4.996,18.06,0.408430579766247,0.234028133747941,0.174402446018306,8.506,26.208,0.443,0.123,4.338,0.978,1.9,1.2,93.6,96.7,1.4,1.9,4.29733333333333
"EC_084","W",201.44,6.936,21.22,163.04,589.181,163.04,589.181,0.546516597694184,0.606326749370364,-0.0598101516761794,6.194,21.626,0.584,0.162,6.8,1.03833333333333,1.9,1.2,93.6,96.7,1.4,1.9,4.29733333333333
"EC_085","D",144.1,6.728,21.24,0.611,2.09,0.611,2.09,0.339362024953606,0.129815979455029,0.209546045498576,32.144,157.616,0.934,0.273,5.65833333333333,1.395,34.6,39,3.4,77,3.1,19.9,6.01133333333333
"EC_085","W",152.56,6.994,21.02,172.971,591.578,172.971,591.578,0.54046752086018,0.54046752086018,0,13.628,59.638,3.351,0.98,5.854,0.728,34.6,39,3.4,77,3.1,19.9,6.01133333333333
"EC_088","D",83.522,5.84,20.66,37.347,140.275,4.165,15.663,0.455445571809142,0.187374146648135,0.268071425161007,67.176,302.026,0.679,0.181,4.35875,3.20875,28,21.5,18.5,68,3.3,28.7,27.682
"EC_088","W",105.2,6.158,20.48,229.993,865.081,229.993,865.081,0.676040341453032,0.676622482006693,-0.000582140553660726,33.222,170.79,1.856,0.493,5.974,2.286,28,21.5,18.5,68,3.3,28.7,27.682
"EC_089","D",84.3,5.898,19.6,0.871,2.839,0.592,1.917,0.291106607826395,0.193251923516285,0.0978546843101104,19.11,69.562,0.484,0.149,5.085,0.556666666666667,23.6,20.9,46.4,90.9,4.1,5,8.932
"EC_089","W",98.784,5.922,19.48,2.249,7.407,2.249,7.407,0.484766905441108,0.484766905441108,0,25.058,80.602,0.586,0.178,5.872,0.438,23.6,20.9,46.4,90.9,4.1,5,8.932
"EC_090","D",36.068,5.348,20.54,0.251,0.737,0.251,0.737,0.180122741967627,0.0754269237921591,0.104695818175468,21.312,61.666,0.761,0.259,2.656,0.904,21,23.9,31.7,76.6,4.9,18.5,7.345
"EC_090","W",28.696,5.964,20.56,138.536,412.104,138.536,412.104,0.356729638057132,0.356139875615972,0.000589762441159702,11.538,35.348,2.378,0.802,1.99,0.358,21,23.9,31.7,76.6,4.9,18.5,7.345
"EC_091","D",162.08,6.364,20.04,3.45,11.442,1.793,5.894,0.324281234820642,0.174059060486169,0.150222174334473,18.296,66.394,0.622,0.187,3.624,0.946,72.4,15,1.2,88.6,3.7,7.7,5.4435
"EC_091","W",153.9,6.804,20,132.928,443.51,132.928,443.51,0.52221703088709,0.522349481218216,-0.000132450331125833,13.916,47.636,0.868,0.26,3.594,0.82,72.4,15,1.2,88.6,3.7,7.7,5.4435
"EC_092","D",142.82,6.832,20.04,0.441,1.314,0.441,1.314,0.198156128377476,0.0850096507479129,0.113146477629563,17.794,48.802,0.16,0.054,4.588,1.648,14,19.1,56.4,89.5,3,7.5,2.85366666666667
"EC_092","W",168.4,6.226,20.06,4.592,13.81,2.114,6.397,0.378695700019349,0.378695700019349,0,24.054,69.426,0.321,0.107,4.62,0.57,14,19.1,56.4,89.5,3,7.5,2.85366666666667
"EC_093","D",55.788,6.578,20.58,0.094,0.286,0,0,0.223950025147665,0.11901565555893,0.104934369588735,2.842,8.194,0.202,0.066,13.318,0.958,4.2,11.2,82.3,97.7,1.8,0.5,4.04066666666667
"EC_093","W",70.744,6.628,20.3,0.509,1.573,0.509,1.573,0.408929561565908,0.411128329840592,-0.00219876827468412,3.564,9.726,0.203,0.066,12.636,0.722,4.2,11.2,82.3,97.7,1.8,0.5,4.04066666666667
"EC_094","D",238,6.618,20.4,1.438,4.694,0.851,2.763,0.285916386890263,0.158830506914382,0.127085879975881,44.998,150.942,1.334,0.41,10.3816666666667,1.565,23.6,18.9,48.6,91.1,4.1,4.8,5.065
"EC_094","W",242.34,6.516,20.26,128.557,417.545,128.557,417.545,0.479517766673649,0.479389149310305,0.000128617363344041,33.234,106.11,1.487,0.458,10.356,0.892,23.6,18.9,48.6,91.1,4.1,4.8,5.065
"EC_095","D",372.3,5.26,19.44,2.913,12.301,2.913,12.301,0.608625469728322,0.260803250414714,0.347822219313608,63.702,430.07,0.096,0.022,3.88,3.05285714285714,45.2,16.1,4.2,65.5,1.8,32.7,12.832
"EC_095","W",337.52,5.686,19.5,281.286,1181.934,281.286,1181.934,0.844266978356307,0.843945305190213,0.000321673166094372,27.148,213.97,1.502,0.357,7.404,1.532,45.2,16.1,4.2,65.5,1.8,32.7,12.832
